Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10517364,6 months of differentiation,RNA-Seq,202,7070482780,PRJNA591149,SAMN13353031,2112011745,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202308,GSM4188826,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T03:29:00Z,1,GSM4188826,cerebral organoids,SRP231431
SRR10517365,6 months of differentiation,RNA-Seq,202,5406082974,PRJNA591149,SAMN13353029,1625256959,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202309,GSM4188827,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T03:19:00Z,1,GSM4188827,cerebral organoids,SRP231431
SRR10517366,6 months of differentiation,RNA-Seq,202,6518230940,PRJNA591149,SAMN13353025,1968304578,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202310,GSM4188828,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T03:54:00Z,1,GSM4188828,cerebral organoids,SRP231431
SRR10517367,6 months of differentiation,RNA-Seq,202,8951113082,PRJNA591149,SAMN13353024,2714880513,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202311,GSM4188829,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T04:44:00Z,1,GSM4188829,cerebral organoids,SRP231431
SRR10517368,6 months of differentiation,RNA-Seq,202,7252764752,PRJNA591149,SAMN13353023,2174824411,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202312,GSM4188830,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T05:52:00Z,1,GSM4188830,cerebral organoids,SRP231431
SRR10517369,6 months of differentiation,RNA-Seq,202,6397070734,PRJNA591149,SAMN13353021,1930867959,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202313,GSM4188831,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T03:26:00Z,1,GSM4188831,cerebral organoids,SRP231431
SRR10517370,6 months of differentiation,RNA-Seq,202,6759719516,PRJNA591149,SAMN13353020,2035179380,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202314,GSM4188832,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T05:31:00Z,1,GSM4188832,cerebral organoids,SRP231431
SRR10517371,6 months of differentiation,RNA-Seq,202,7380861840,PRJNA591149,SAMN13353028,2220147881,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202315,GSM4188833,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T05:45:00Z,1,GSM4188833,cerebral organoids,SRP231431
SRR10517372,6 months of differentiation,RNA-Seq,202,7618984894,PRJNA591149,SAMN13353019,2282385397,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202316,GSM4188834,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T05:44:00Z,1,GSM4188834,cerebral organoids,SRP231431
SRR10517373,6 months of differentiation,RNA-Seq,202,6692411500,PRJNA591149,SAMN13353018,2005204628,Human iPSC derieved cerebral organoids,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX7202317,GSM4188835,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,2019-11-23T03:25:00Z,1,GSM4188835,cerebral organoids,SRP231431
