Run,GSM,Cell_Line,Condition,Organoid_Age,Tissue,Sample_Type
SRR10517364,GSM4188826,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517365,GSM4188827,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517366,GSM4188828,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517367,GSM4188829,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517368,GSM4188830,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517369,GSM4188831,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517370,GSM4188832,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517371,GSM4188833,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517372,GSM4188834,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517373,GSM4188835,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
SRR10517374,GSM4188836,Healthy control iPSC,Healthy_control,6 months,Cerebral organoid,Control
