gene_id,01B_13_1.fq.gz,01B_33_1.fq.gz,043_14_1.fq.gz,043_33_1.fq.gz,043_3_1.fq.gz,250_14_1.fq.gz,250_34_1.fq.gz,250_4_1.fq.gz
ENSG00000233542.2|ENSG00000233542,57,27,43,7,26,96,51,26
ENSG00000187730.9|GABRD,475,356,187,96,886,418,313,429
ENSG00000067606.17|PRKCZ,15648,17753,13215,16095,11174,16667,16755,11631
ENSG00000271806.1|ENSG00000271806,0,2,6,5,0,7,9,0
ENSG00000162585.17|FAAP20,10230,7315,7154,7137,13504,9787,7856,12550
ENSG00000234396.3|ENSG00000234396,0,0,0,0,0,0,0,0
ENSG00000157933.10|SKI,24786,27838,27841,28978,20115,25951,28880,21372
ENSG00000287356.1|ENSG00000287356,48,50,43,58,107,77,60,79
ENSG00000116151.14|MORN1,928,784,1372,1002,2320,1101,807,2655
ENSG00000157911.11|PEX10,5152,4012,4839,4950,8126,4883,4126,8108
ENSG00000149527.18|PLCH2,3061,3641,7531,6241,4047,4722,4697,2821
ENSG00000224387.1|ENSG00000224387,0,0,2,0,0,0,0,0
ENSG00000157881.16|PANK4,4791,6179,7110,9177,6273,6482,8052,6148
ENSG00000238164.6|TNFRSF14-AS1,3,0,0,7,2,0,0,0
ENSG00000157873.18|TNFRSF14,15,25,47,27,38,22,0,20
ENSG00000225931.3|ENSG00000225931,0,0,2,0,0,0,0,0
ENSG00000228037.1|ENSG00000228037,0,0,3,0,0,0,0,0
ENSG00000289610.1|ENSG00000289610,0,0,0,0,0,0,0,0
ENSG00000157870.17|PRXL2B,10959,7380,11331,9010,19870,10948,8840,17618
ENSG00000142606.16|MMEL1,1515,1405,1269,964,315,939,737,143
ENSG00000237058.1|MMEL1-AS1,0,0,0,0,10,0,0,0
ENSG00000215912.12|TTC34,21,26,42,41,37,21,14,44
ENSG00000285945.1|ENSG00000285945,0,0,0,0,0,0,0,0
ENSG00000283259.1|ENSG00000283259,0,0,0,0,0,0,0,0
ENSG00000182873.5|PRKCZ-AS1,1047,976,954,1142,1219,1110,1157,1200
ENSG00000272161.1|ENSG00000272161,5,3,20,2,11,8,8,15
ENSG00000269896.2|ENSG00000269896,355,204,417,181,845,207,100,601
ENSG00000272420.1|ENSG00000272420,34,31,42,19,12,3,19,14
ENSG00000157916.20|RER1,15567,17553,14233,17513,21156,16800,17073,20071
ENSG00000229393.1|ENSG00000229393,9,0,4,0,0,0,0,7
ENSG00000197921.6|HES5,12702,4390,21292,12896,8603,12792,5595,7551
ENSG00000272449.2|ENSG00000272449,108,65,205,498,709,111,11,258
ENSG00000264341.1|ENSG00000264341,0,0,0,0,0,0,0,0
ENSG00000236948.2|ENSG00000236948,8,11,23,26,0,4,11,0
ENSG00000196581.11|AJAP1,1843,2889,5067,3922,3750,1746,2109,3534
ENSG00000287586.1|ENSG00000287586,0,0,0,0,3,3,3,0
ENSG00000131697.18|NPHP4,1602,1378,4406,1848,3060,2627,1732,3448
ENSG00000069424.16|KCNAB2,4929,4994,5494,5448,3503,5670,5267,3565
ENSG00000177133.13|PRDM16-DT,2186,1999,2393,1977,7546,2252,2137,3788
ENSG00000283572.1|MIR4251,0,0,0,0,0,0,0,0
ENSG00000226286.1|ENSG00000226286,0,0,0,0,0,0,0,0
ENSG00000142611.17|PRDM16,5978,7110,12549,8373,12833,10777,8139,7481
ENSG00000286518.1|ENSG00000286518,0,0,3,0,0,0,0,0
ENSG00000130762.15|ARHGEF16,237,207,394,315,796,428,325,611
ENSG00000272088.1|ENSG00000272088,0,0,3,2,7,0,0,4
ENSG00000162591.16|MEGF6,4065,3981,6005,4357,10593,4813,4501,7726
ENSG00000207776.1|MIR551A,0,0,0,0,0,0,0,0
ENSG00000238260.2|ENSG00000238260,21,9,28,27,16,22,14,27
ENSG00000158109.15|TPRG1L,4223,6261,4382,7072,5171,4807,6236,5811
ENSG00000116213.16|WRAP73,2022,2074,3621,3138,4635,2130,1961,3226
ENSG00000078900.15|TP73,101,83,1493,185,7656,383,296,3052
ENSG00000227589.1|TP73-AS3,0,3,2,2,11,0,0,8
ENSG00000235131.1|TP73-AS2,0,0,0,0,0,0,0,0
ENSG00000227372.12|TP73-AS1,6611,6035,10258,7161,8467,7448,7460,8020
ENSG00000276189.1|ENSG00000276189,0,0,1,1,1,1,0,1
ENSG00000162592.10|CCDC27,3,1,6,2,1,7,5,4
ENSG00000235169.11|SMIM1,97,40,97,101,334,152,66,196
ENSG00000116198.14|CEP104,3448,4285,6502,5687,3095,4454,4730,2766
ENSG00000169598.17|DFFB,1251,934,1896,1240,1354,1232,1083,976
ENSG00000198912.12|C1orf174,1092,1408,1918,1661,1593,1195,1562,1765
ENSG00000236423.7|LINC01134,15,5,3,0,16,0,0,25
ENSG00000233304.7|LINC01346,3,3,3,19,6,0,0,14
ENSG00000226374.3|LINC01345,0,0,0,0,0,0,0,0
ENSG00000279839.1|ENSG00000279839,3,0,4,0,3,0,0,6
ENSG00000272235.1|ENSG00000272235,8,21,19,17,116,16,23,26
ENSG00000287828.1|ENSG00000287828,7,37,21,8,227,8,34,20
ENSG00000130764.10|LRRC47,20209,19407,16723,20801,19541,17977,20135,18375
ENSG00000266075.2|RN7SL574P,3,7,11,13,30,9,9,5
ENSG00000272153.1|ENSG00000272153,12,18,41,15,21,21,17,22
ENSG00000223972.5|DDX11L1,0,0,9,9,17,0,0,0
ENSG00000237613.2|FAM138A,0,0,11,1,12,0,0,0
ENSG00000268020.3|OR4G4P,0,0,0,0,0,0,0,0
ENSG00000240361.2|OR4G11P,0,0,0,0,0,0,0,0
ENSG00000186092.7|OR4F5,0,0,0,0,0,0,0,0
