Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR20950128,RNA-Seq,202,13975161334,PRJNA867025,SAMN30183005,4315341181,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16968730,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435456,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:55:00Z,1,GSM6435456,Cortical organoids,SRP390346,Cortical organoids,Methadone Treatment
SRR20950129,RNA-Seq,202,9680009276,PRJNA867025,SAMN30183006,2980614738,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16968729,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435455,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:52:00Z,1,GSM6435455,Cortical organoids,SRP390346,Cortical organoids,Methadone Treatment
SRR20950130,RNA-Seq,202,13109584062,PRJNA867025,SAMN30183007,4068047183,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16968728,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435454,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-08T00:17:00Z,1,GSM6435454,Cortical organoids,SRP390346,Cortical organoids,Methadone Treatment
SRR20950131,RNA-Seq,202,9692805168,PRJNA867025,SAMN30183008,3008025499,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16968727,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435453,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:47:00Z,1,GSM6435453,Cortical organoids,SRP390346,Cortical organoids,Methadone Treatment
SRR20950132,RNA-Seq,202,12416749918,PRJNA867025,SAMN30183009,3824336970,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16968726,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435452,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:53:00Z,1,GSM6435452,Cortical organoids,SRP390346,Cortical organoids,Control (Vehicle)
SRR20950133,RNA-Seq,202,9929873580,PRJNA867025,SAMN30183010,3073555033,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16968725,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435451,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:48:00Z,1,GSM6435451,Cortical organoids,SRP390346,Cortical organoids,Control (Vehicle)
SRR20950134,RNA-Seq,202,10436004376,PRJNA867025,SAMN30183011,3237084447,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16968724,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435450,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:54:00Z,1,GSM6435450,Cortical organoids,SRP390346,Cortical organoids,Control (Vehicle)
SRR20950135,RNA-Seq,202,12507116234,PRJNA867025,SAMN30183012,3893024486,B,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16968723,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435449,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-08T00:10:00Z,1,GSM6435449,Cortical organoids,SRP390346,Cortical organoids,Control (Vehicle)
SRR20950136,RNA-Seq,202,12370651902,PRJNA867025,SAMN30183013,3845119137,A,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16968722,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435448,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-08T00:09:00Z,1,GSM6435448,Cortical organoids,SRP390346,Cortical organoids,Methadone Treatment
SRR20950137,RNA-Seq,202,10443612100,PRJNA867025,SAMN30183014,3254428978,A,"PEDIATRICS, UNIVERSITY OF CALIFORNIA, SAN DIEGO",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16968721,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6435447,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-05-06T00:00:00Z,2022-08-07T23:39:00Z,1,GSM6435447,Cortical organoids,SRP390346,Cortical organoids,Methadone Treatment
