ACTRL1,ACTRL2,ACTRL3,ATREAT1,ATREAT2,ATREAT3,BCTRL1,BCTRL2,BCTRL3,BCTRL4,BTREAT1,BTREAT2,BTREAT3,BTREAT4
4062,5285,5540,4708,5283,5056,5081,4617,4924,6041,5013,6502,4961,8283
6,12,14,21,24,16,21,17,14,26,11,10,13,13
31,35,32,0,4,7,22,22,35,52,5,16,6,24
1188,1532,1397,592,676,940,1072,905,1465,2005,922,1335,924,1534
118,171,133,65,45,89,250,203,244,370,136,216,144,188
1510,1885,1835,903,827,1190,2121,1876,3031,3624,2123,3310,1895,3165
118,157,160,112,79,142,31,49,55,87,56,92,60,90
164,227,207,147,125,210,43,50,73,103,62,110,63,112
1629,2350,2066,900,868,1330,2113,1823,2814,3506,2016,3023,1658,2920
341,478,492,345,399,482,292,237,237,266,187,295,160,428
44,50,44,37,61,80,57,31,49,59,27,32,50,68
11,21,29,14,24,20,21,13,20,31,15,20,25,20
70,78,81,129,77,147,133,139,175,171,82,102,103,116
396,638,645,621,686,750,490,449,363,506,384,588,465,699
21,40,43,31,38,45,28,16,19,19,43,37,30,43
19,26,22,14,13,14,9,4,10,13,4,16,6,17
673,779,966,598,644,720,537,510,536,760,460,594,481,664
309,356,313,206,228,223,231,293,354,472,178,412,195,304
2002,1981,1096,441,520,393,1175,1624,2406,3382,686,2952,946,1945
4132,5000,4998,3973,4227,4783,5155,4557,5018,5774,4377,6496,4600,7641
890,1047,1113,1496,1161,1010,657,968,1138,1521,1168,1273,888,1700
702,576,736,1024,1637,852,720,801,611,697,1551,789,1425,1850
75,94,107,130,140,127,84,102,169,186,159,131,162,295
6068,5773,6714,8167,6984,5993,3997,4493,5127,7305,7107,6940,5723,7427
514,584,765,847,856,527,349,428,482,611,888,953,748,1044
183,191,111,3,21,2,121,197,283,444,7,147,16,20
285,356,176,5,29,4,181,336,464,678,4,277,24,29
4991,5579,5079,3594,3707,3589,5243,4892,5564,6527,3479,5686,3597,6013
1296,1566,1725,1237,1240,1136,1032,1100,1143,1569,1286,1763,1194,2120
37,40,40,32,48,37,44,46,68,57,41,36,49,89
1804,1997,2004,1948,2246,1925,1678,1790,1933,2399,2366,2809,2275,3910
497,571,552,544,418,372,277,436,594,771,460,618,434,571
3772,4802,5935,6470,5595,4843,2727,3283,3340,5070,5488,5405,4262,6937
484,502,477,451,571,472,438,416,476,503,467,587,452,937
4186,5242,5613,4649,4975,4526,4323,4199,4656,5750,4666,5707,4270,7492
701,663,829,920,800,675,356,457,567,747,793,948,676,1448
49,41,43,60,53,31,14,29,46,61,72,72,39,71
2836,2822,3652,4650,4847,3543,1923,2516,2754,3547,3693,3741,3324,6084
635,700,544,262,346,255,925,974,1152,1355,554,882,645,763
2046,2198,1947,1685,2011,1491,2011,1986,2303,2435,2308,3216,2335,4337
8183,10179,9428,5927,6754,7631,7869,6541,6987,9054,6634,8669,6579,9558
1167,1549,1248,946,972,1022,1126,1038,1045,1252,904,1339,908,1264
2242,2813,2481,1959,2416,2197,2611,2497,2516,2986,2703,3828,2677,4593
51,56,56,41,35,47,20,25,34,43,49,33,32,55
10,8,12,5,7,12,3,5,11,15,9,15,9,8
439,442,381,211,217,186,106,127,170,169,105,129,137,281
70,99,67,68,65,58,48,60,70,69,58,64,45,103
1527,1647,1749,1340,1509,1080,1141,1129,1421,1721,1363,1770,1310,2179
1596,1716,1688,1222,1206,880,1126,1282,1651,1917,1513,1972,1379,2157
229,231,363,603,448,462,152,181,207,222,258,273,262,445
3023,4115,3917,3388,3931,4130,3997,3426,3475,4093,3652,4748,3555,6961
902,904,894,883,891,825,581,662,937,1160,636,1023,607,1253
2146,1997,2277,2664,2558,1678,985,1493,2191,3080,2480,2790,2161,4381
53,70,61,78,83,22,20,21,50,74,104,85,61,150
2540,3156,3065,2345,2494,2571,2553,2197,2468,3254,2655,3122,2359,3759
11138,16018,16577,13511,14574,16585,13628,11539,11945,16272,13074,17651,12078,20195
41,68,56,75,76,23,19,20,47,60,76,72,54,112
2697,3304,3441,2814,2929,2978,2925,2588,2815,3735,2948,3539,2703,4630
3541,4935,4741,3855,4190,5019,3651,3128,2996,4006,3216,4268,3147,4450
1276,1870,2098,1828,1960,2279,1715,1292,1355,1832,1737,2081,1591,2717
3068,4196,3549,2283,2524,2430,3131,3084,3109,3767,2390,3444,2607,3661
24079,34664,34597,33750,31113,40540,29604,24886,20693,28267,24792,29378,25122,36341
51,90,72,69,45,79,42,49,75,93,28,59,46,43
543,768,374,18,36,12,362,532,863,1107,33,389,47,65
125,103,68,12,7,3,78,91,136,145,35,121,29,51
1749,2155,2458,3170,2832,3717,1536,1453,1349,1618,1599,1855,1544,2483
236,389,439,424,384,499,275,236,226,325,274,331,306,376
720,597,719,661,704,429,413,497,659,798,1010,1096,846,1475
269,412,417,285,299,235,214,251,242,405,244,340,240,386
2371,3173,3204,2199,1976,2179,2058,1928,1878,2589,2179,2876,1916,2728
741,768,649,214,358,275,648,718,988,1146,503,738,459,735
296,453,343,72,109,57,100,158,237,260,113,261,117,223
3678,4739,4252,2857,3220,3245,4222,3551,3736,4638,3237,4661,3268,5516
818,869,882,536,655,506,753,865,791,1010,877,1231,955,1372
410,502,780,600,409,558,295,300,249,374,367,261,335,398
1589,1643,1738,1728,1756,1928,1797,1558,1679,1911,1647,1851,1636,2668
