chnm,casn,dsstox_substance_id,growth_proliferation__active,growth_proliferation__endpoint_fraction_active,progenitor_organization__active,progenitor_organization__endpoint_fraction_active,synaptic_integrity__active,synaptic_integrity__endpoint_fraction_active,electrophysiology__active,electrophysiology__endpoint_fraction_active
Heptachlor epoxide B,1024-57-3,DTXSID1024126,1,0.6666666666666666,1,1.0,1,0.75,1,0.5588235294117647
Methamidophos,10265-92-6,DTXSID6024177,0,0.0,1,0.125,0,0.0,1,0.11764705882352941
Acetaminophen,103-90-2,DTXSID2020006,0,0.0,0,0.0,0,0.0,1,0.058823529411764705
Sodium valproate,1069-66-5,DTXSID5037072,0,0.0,0,0.0,0,0.0,1,0.058823529411764705
Glyphosate,1071-83-6,DTXSID1024122,0,0.0,0,0.0,0,0.0,0,0.0
Tebuconazole,107534-96-3,DTXSID9032113,1,0.6666666666666666,1,0.125,1,0.375,1,0.4411764705882353
Phenol,108-95-2,DTXSID5021124,0,0.0,0,0.0,0,0.0,1,0.029411764705882353
Diethylene glycol,111-46-6,DTXSID8020462,0,0.0,0,0.0,0,0.0,1,0.029411764705882353
Omethoate,1113-02-6,DTXSID4037580,0,0.0,1,0.125,0,0.0,1,0.029411764705882353
Methylmercuric(II) chloride,115-09-3,DTXSID5020813,1,0.6666666666666666,1,0.75,1,0.625,1,0.5
Aldicarb,116-06-3,DTXSID0039223,0,0.0,0,0.0,0,0.0,1,0.029411764705882353
Di(2-ethylhexyl) phthalate,117-81-7,DTXSID5020607,1,0.6666666666666666,1,0.125,1,0.75,1,0.4411764705882353
Malathion,121-75-5,DTXSID4020791,1,0.3333333333333333,1,1.0,1,0.625,1,0.5
Maneb,12427-38-2,DTXSID9020794,0,0.0,0,0.0,0,0.0,1,0.029411764705882353
Hydroxyurea,127-07-1,DTXSID6025438,0,0.0,0,0.0,0,0.0,1,0.029411764705882353
Terbufos,13071-79-9,DTXSID2022254,1,0.6666666666666666,1,0.5,1,0.625,1,0.5
Ethoprop,13194-48-4,DTXSID4032611,0,0.0,0,0.0,1,0.125,1,0.4117647058823529
Chloramben,133-90-4,DTXSID2020262,0,0.0,0,0.0,0,0.0,0,0.0
Dicrotophos,141-66-2,DTXSID9023914,0,0.0,0,0.0,0,0.0,0,0.0
Cytarabine,147-94-4,DTXSID3022877,1,1.0,1,0.375,1,0.5,1,0.5294117647058824
Malaoxon,1634-78-2,DTXSID9020790,0,0.0,0,0.0,0,0.0,0,0.0
Paraquat dichloride,1910-42-5,DTXSID7024243,1,0.3333333333333333,1,0.375,1,0.75,1,0.5
Z-Tetrachlorvinphos,22248-79-9,DTXSID1032648,1,0.3333333333333333,1,0.875,0,0.0,1,0.29411764705882354
Terbutaline hemisulfate,23031-32-5,DTXSID3045437,0,0.0,0,0.0,1,0.125,0,0.0
Amoxicillin,26787-78-0,DTXSID3037044,0,0.0,0,0.0,0,0.0,0,0.0
Triethyltin bromide,2767-54-6,DTXSID9040712,0,0.0,1,1.0,1,0.625,1,0.47058823529411764
Chlorpyrifos,2921-88-2,DTXSID4020458,1,1.0,1,1.0,1,0.75,1,0.5
Pirimiphos-methyl,29232-93-7,DTXSID0024266,1,1.0,1,1.0,1,0.625,1,0.5
Phorate,298-02-2,DTXSID4032459,0,0.0,0,0.0,1,0.625,1,0.47058823529411764
Carbamazepine,298-46-4,DTXSID4022731,0,0.0,0,0.0,0,0.0,0,0.0
Naled,300-76-5,DTXSID1024209,1,0.6666666666666666,1,0.5,1,0.5,1,0.5
all-trans-Retinoic acid,302-79-4,DTXSID7021239,0,0.0,1,0.625,0,0.0,1,0.5
Acephate,30560-19-1,DTXSID8023846,0,0.0,0,0.0,0,0.0,1,0.058823529411764705
6-aminopyridine-3-carboxamide,329-89-5,DTXSID5051446,0,0.0,1,0.375,1,0.75,1,0.5
Diazinon,333-41-5,DTXSID9020407,1,0.3333333333333333,0,0.0,1,0.25,1,0.4411764705882353
L-Ketamine hydrochloride,33795-24-3,DTXSID90187455,0,0.0,1,0.25,0,0.0,1,0.11764705882352941
"4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride",34552-83-5,DTXSID00880006,1,1.0,1,0.625,1,0.75,1,0.5294117647058824
Profenofos,41198-08-7,DTXSID3032464,0,0.0,0,0.0,0,0.0,1,0.029411764705882353
Chlordiazepoxide hydrochloride,438-41-5,DTXSID40880060,1,1.0,1,0.625,1,0.75,1,0.4411764705882353
Diazepam,439-14-5,DTXSID4020406,0,0.0,1,0.125,1,0.25,1,0.3235294117647059
Cotinine,486-56-6,DTXSID1047576,0,0.0,0,0.0,0,0.0,0,0.0
Dexamethasone,50-02-2,DTXSID3020384,0,0.0,1,0.125,0,0.0,0,0.0
Thalidomide,50-35-1,DTXSID9022524,0,0.0,0,0.0,0,0.0,0,0.0
Cocaine,50-36-2,DTXSID2038443,1,0.3333333333333333,0,0.0,0,0.0,1,0.058823529411764705
D-Glucitol,50-70-4,DTXSID5023588,0,0.0,0,0.0,0,0.0,0,0.0
5-Fluorouracil,51-21-8,DTXSID2020634,1,1.0,1,0.25,0,0.0,1,0.5
6-Propyl-2-thiouracil,51-52-5,DTXSID5021209,0,0.0,0,0.0,0,0.0,1,0.4411764705882353
Dextroamphetamine sulfate,51-63-8,DTXSID2057865,0,0.0,0,0.0,1,0.125,0,0.0
Naloxone hydrochloride dihydrate,51481-60-8,DTXSID90199452,0,0.0,0,0.0,0,0.0,0,0.0
Trichlorfon,52-68-6,DTXSID0021389,1,0.6666666666666666,0,0.0,1,0.625,1,0.47058823529411764
Haloperidol,52-86-8,DTXSID4034150,1,0.3333333333333333,1,0.625,1,0.625,1,0.5
Permethrin,52645-53-1,DTXSID8022292,1,0.3333333333333333,1,0.5,1,0.75,1,0.5
Deltamethrin,52918-63-5,DTXSID8020381,0,0.0,0,0.0,1,0.5,1,0.5
Sodium benzoate,532-32-1,DTXSID1020140,0,0.0,0,0.0,0,0.0,0,0.0
Nicotine,54-11-5,DTXSID1020930,0,0.0,0,0.0,0,0.0,1,0.058823529411764705
Isoniazid,54-85-3,DTXSID8020755,0,0.0,0,0.0,0,0.0,1,0.20588235294117646
"2,2',4,4'-Tetrabromodiphenyl ether",5436-43-1,DTXSID3030056,0,0.0,1,0.875,1,0.625,1,0.4117647058823529
Chlorethoxyfos,54593-83-8,DTXSID2032344,1,0.6666666666666666,1,0.5,1,0.75,1,0.47058823529411764
Chlorpyrifos oxon,5598-15-2,DTXSID1038666,1,0.3333333333333333,1,0.5,0,0.0,1,0.4117647058823529
Trimethyltin hydroxide,56-24-6,DTXSID9032240,0,0.0,1,0.125,1,0.625,1,0.5
Bis(tributyltin)oxide,56-35-9,DTXSID9020166,1,1.0,1,0.625,1,0.875,1,0.5
Diethylstilbestrol,56-53-1,DTXSID3020465,1,0.3333333333333333,1,1.0,1,0.5,1,0.4411764705882353
Coumaphos,56-72-4,DTXSID2020347,1,1.0,1,0.875,1,0.375,1,0.47058823529411764
Fluoxetine hydrochloride,56296-78-7,DTXSID7020635,1,0.6666666666666666,1,1.0,1,0.625,1,0.5
Phenobarbital sodium,57-30-7,DTXSID0021123,0,0.0,1,0.125,0,0.0,0,0.0
"5,5-Diphenylhydantoin",57-41-0,DTXSID8020541,0,0.0,0,0.0,0,0.0,0,0.0
Caffeine,58-08-2,DTXSID0020232,0,0.0,1,0.125,0,0.0,0,0.0
Methotrexate,59-05-2,DTXSID4020822,0,0.0,0,0.0,1,0.375,1,0.47058823529411764
Dimethoate,60-51-5,DTXSID7020479,1,0.3333333333333333,0,0.0,1,0.75,1,0.47058823529411764
Dieldrin,60-57-1,DTXSID9020453,1,1.0,1,0.75,1,0.75,1,0.5588235294117647
Cyclophosphamide monohydrate,6055-19-2,DTXSID6024888,0,0.0,0,0.0,0,0.0,0,0.0
Lead(II) acetate trihydrate,6080-56-4,DTXSID3031521,0,0.0,1,0.5,0,0.0,1,0.47058823529411764
Dichlorvos,62-73-7,DTXSID5020449,1,0.3333333333333333,1,0.125,0,0.0,0,0.0
Captopril,62571-86-2,DTXSID1037197,1,0.3333333333333333,0,0.0,0,0.0,1,0.058823529411764705
Colchicine,64-86-8,DTXSID5024845,1,0.3333333333333333,1,0.625,1,0.875,1,0.5
