casn,chemical,dsstox_substance_id,pubchem_query,match_status,source_url,error,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,XLogP,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
1024-57-3,Heptachlor epoxide B,DTXSID1024126,1024-57-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1024-57-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,15559699.0,C10H5Cl7O,389.3,[C@@H]12[C@@H]([C@H]([C@@H]3[C@H]1O3)Cl)[C@]4(C(=C([C@@]2(C4(Cl)Cl)Cl)Cl)Cl)Cl,C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl,3.7,12.5,504.0,0.0,0.0,1.0,0.0
10265-92-6,Methamidophos,DTXSID6024177,10265-92-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/10265-92-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,4096.0,C2H8NO2PS,141.13,COP(=O)(N)SC,COP(=O)(N)SC,-0.9,77.6,95.0,0.0,1.0,4.0,2.0
103-90-2,Acetaminophen,DTXSID2020006,103-90-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/103-90-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,1983.0,C8H9NO2,151.16,CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O,0.5,49.3,139.0,0.0,2.0,2.0,1.0
1069-66-5,Sodium valproate,DTXSID5037072,1069-66-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1069-66-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,16760703.0,C8H15NaO2,166.19,CCCC(CCC)C(=O)[O-].[Na+],CCCC(CCC)C(=O)[O-].[Na+],,40.1,98.0,0.0,0.0,2.0,5.0
1071-83-6,Glyphosate,DTXSID1024122,1071-83-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1071-83-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3496.0,C3H8NO5P,169.07,C(C(=O)O)NCP(=O)(O)O,C(C(=O)O)NCP(=O)(O)O,-4.6,107.0,162.0,0.0,4.0,6.0,4.0
107534-96-3,Tebuconazole,DTXSID9032113,107534-96-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/107534-96-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,86102.0,C16H22ClN3O,307.82,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,3.7,50.9,326.0,0.0,1.0,3.0,6.0
108-95-2,Phenol,DTXSID5021124,108-95-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/108-95-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,996.0,C6H6O,94.11,C1=CC=C(C=C1)O,C1=CC=C(C=C1)O,1.5,20.2,46.0,0.0,1.0,1.0,0.0
111-46-6,Diethylene glycol,DTXSID8020462,111-46-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/111-46-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,8117.0,C4H10O3,106.12,C(COCCO)O,C(COCCO)O,-1.3,49.7,26.0,0.0,2.0,3.0,4.0
1113-02-6,Omethoate,DTXSID4037580,1113-02-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1113-02-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,14210.0,C5H12NO4PS,213.19,CNC(=O)CSP(=O)(OC)OC,CNC(=O)CSP(=O)(OC)OC,-0.9,89.9,190.0,0.0,1.0,5.0,5.0
115-09-3,Methylmercuric(II) chloride,DTXSID5020813,115-09-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/115-09-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,409301.0,CH3ClHg,251.08,C[Hg]Cl,C[Hg]Cl,,0.0,4.0,0.0,0.0,0.0,0.0
