chemical_code,chemical,casn,oligodendrocyte_o1_normalized,viability,usable_noncytotoxic,progenitor_disruption_score
T3,Diazinon,333-41-5,0.8994375911884464,0.9574089921664143,True,0.07645245673672839
T4,Hydroxyurea,127-07-1,0.7338792462154513,1.103811467316174,True,0.22319269793793445
T5,Maneb,12427-38-2,0.9610202259846556,0.8264153658010214,True,0.028680650039541938
T7,Permethrin,52645-53-1,0.894909180640278,0.9900765523107457,True,0.0800934080921861
T15,5-Fluorouracil,51-21-8,0.3696601429925746,0.16325455862023566,False,
T16,Busulfan,55-98-1,0.8566547927810308,1.2724695208392403,True,0.11160706900585107
T18,Thalidomide,50-35-1,1.0583390153175394,1.032443709085677,True,0.04090091834486217
T20,Carbamazepine,298-46-4,1.3368584028074575,1.1754328220656969,True,0.2094233331697701
B1,Cyclopamine,4449-51-8,1.089579702648658,1.0774028919761838,True,0.061885866657489165
C1,Acetaminophen,103-90-2,1.2363677533549564,1.3892436310973604,True,0.1530539658879792
C4,Saccharin,81-07-2,1.0938805253749027,1.229379806674663,True,0.06472758713573164
C6,Sucrose,57-50-1,1.017598096136446,1.1081215744892874,True,0.01258393827179779
C11,Glycerol,56-81-5,0.9267811857781931,1.1509963311991942,True,0.05484966898711778
C13,Aspirin,50-78-2,0.8748205559390523,1.1659592835047836,True,0.09647048731760129
C23,Tamoxifen,10540-29-1,0.44443521116197765,0.13894227347142143,False,
C24,4-hydroxy-tamoxifen,68392-35-8,0.2522739112258896,0.14403175503260562,False,
B6,Lactose,63-42-3,0.9093720806613025,1.090524236223806,True,0.06852869171309771
B9,Oleic acid,112-80-1,0.8125791921835063,0.9390416784802949,True,0.14970983655840442
B10,Arabinose,147-81-9,0.9443957783649828,1.0691731531796151,True,0.04126825121859734
