gene,variance_2d_tpm,present_in_v3_candidate_features,selected_top_250
TUBA1A,14510176.356760584,False,False
MT2A,11453025.398740768,True,True
HSPA1A,9544562.398538545,False,False
HSP90AA1,7462601.260752968,False,False
FTL,6403824.389441077,True,True
TMSB10,6272944.284931467,True,True
TMEM212,6115750.527017022,False,False
ASTN2,4914507.886247818,False,False
HSPA1B,2580699.9302883674,False,False
NNAT,2307218.835270805,True,True
MTRNR2L2,2079807.3870492713,False,False
EEF1A1,2061806.266706428,False,False
RPL41,1982408.5036374808,False,False
TUBB2B,1907848.3280886456,True,True
FTH1,1820352.9006656965,False,False
ORC4,1676232.7135964863,False,False
HNRNPA1,1315584.2846958207,False,False
TMSB4X,1241405.7948622128,False,False
ACTG1,1203681.7714832772,False,False
COL1A1,1178901.4118519102,True,True
RPL37A,1067798.878718656,False,False
GFAP,1062163.0508339715,True,True
GAPDH,1052027.3431945776,True,True
RPS27,1042956.3782728339,False,False
RPS11,1021336.7706511382,True,True
MT1G,967553.5715742919,False,False
TUBB3,886086.3024223867,True,True
ACTB,819185.1919971413,True,True
TUBB,786850.8732625359,False,False
DLK1,770798.8360182386,False,False
DNAJB1,745988.1204334871,False,False
RPS6,735293.1226291218,False,False
TUBB2A,707897.1936730813,True,True
MTRNR2L8,638074.9958557211,False,False
TUBA1B,634312.7754106917,True,True
RPS3A,624376.5280003328,False,False
MT1X,588674.1963596969,True,True
ODF2L,574425.9100466762,False,False
RPL7A,574395.5725716655,False,False
STMN1,549647.1641106269,True,True
UCHL1,545504.6677093619,False,False
MT1E,539414.5981169414,False,False
RPS15A,533818.3962068692,False,False
RPS18,533755.8686996222,False,False
RPS24,521069.93419401813,False,False
HSPA6,518755.30505552166,False,False
VIM,512683.32411548577,True,True
RPL39,497142.8792594009,False,False
GADD45B,493372.6768707138,True,True
RPL9,470890.5489775725,False,False
RPS2,466895.6876333983,False,False
COL3A1,463308.682275232,True,True
TPT1,438799.4675202917,False,False
RPL13A,405711.9589036162,False,False
CLU,399778.85794463096,True,True
RPLP0,396010.23701810476,False,False
PTN,392621.02986522386,False,False
RPL6,390100.53516925586,False,False
RPL7,376661.1844710981,False,False
RPL3,370636.2921745687,False,False
HMOX1,351469.3009354628,False,False
RPS8,349538.43113252916,False,False
ENO1,346694.59879709734,True,True
SHISA9,346355.87068818253,False,False
RPL21,344669.1095240441,False,False
EEF1G,341218.14497796085,False,False
MYL6,339465.13302922883,True,True
CKB,337195.8748140015,False,False
STMN2,334416.0152894252,True,True
COL1A2,326868.27118131495,False,False
RPS12,325980.3037049332,False,False
SCD5,325073.48437359725,False,False
RPL24,323286.72657801467,False,False
UBC,317291.8309170649,False,False
RPLP2,314446.4791125803,False,False
NREP,308127.62699952745,False,False
MARCKSL1,306255.3891152168,False,False
HSPA8,305496.40672029095,True,True
RPLP1,296859.18531313766,False,False
PTMA,293911.9549757565,True,True
RPSA,287903.52873907017,False,False
RPL23,281619.5287760372,False,False
RPL11,280865.9023587746,False,False
PCP4,279771.60447964637,True,True
RPS29,277206.73318436794,False,False
FN1,277148.66770578414,True,True
RPS10,275002.05575047666,False,False
RPL5,273815.0409508557,False,False
TPI1,267470.3913246968,False,False
HSP90AB1,262062.3930923518,False,False
SPARC,256747.02767438677,True,True
RPL35,256446.74895547426,False,False
RPL18A,251531.85672702856,False,False
RTN1,245923.49497275267,False,False
RPS14,244887.16080415307,False,False
RPL31,240806.7771522716,False,False
HOXB8,234701.55238143433,False,False
PTMS,232857.43278202385,False,False
RPS25,232191.7375181861,False,False
RPL17,231404.79140255053,True,True
RPS19,229957.68975176802,True,True
RPS7,223582.62982244915,False,False
IGFBP2,221138.8440913266,True,True
RPL26,216608.65488962637,True,True
HMGN2,210958.94196693978,False,False
RPL19,209142.88197902704,False,False
RPL35A,208347.102288793,False,False
RPL8,208342.19356953132,False,False
MAB21L3,207751.73793745597,False,False
ALDOA,201704.60687951304,False,False
RPL18,191588.5844256916,False,False
RPL38,191259.21748338247,True,True
RPS28,191146.56728097695,False,False
RBP1,191093.02293685655,True,True
RPL27,190750.68812916917,False,False
H3F3A,188434.889761217,False,False
RPS9,186682.90735628078,False,False
GNB2L1,185512.92565620533,False,False
RPS15,182183.22077917965,False,False
RPL30,181389.4078547315,True,True
UBB,181045.1491885017,True,True
NES,176960.3742201401,False,False
GADD45G,176033.9016358143,True,True
RPS3,174214.30916049174,False,False
RPS16,172195.34504533105,False,False
CFL1,171553.1132807202,False,False
RPL36,166694.8068899305,False,False
RPL4,165412.12882317728,False,False
DPYSL3,164138.004283824,False,False
ANXA2,163686.7694872776,False,False
RPL29,162622.11905334887,False,False
RPL10A,161379.47830484205,False,False
HMP19,160926.4363847048,True,True
RPS20,159977.41622424408,False,False
RPS17,157998.06062380192,False,False
RPS17L,157998.06062380192,False,False
RPS21,153010.39045202654,False,False
BASP1,151861.70019884198,True,True
CRMP1,151802.1789650045,False,False
PEG10,149433.01425217857,False,False
H2AFZ,146193.58197882352,True,True
GNAS,145317.19873611548,False,False
GAP43,141393.2001945427,False,False
PSAP,140631.17418096407,False,False
HSPH1,136850.58145467943,True,True
HSPB1,135940.70429619728,False,False
SCD,135165.35248893333,True,True
B2M,133532.7504153256,True,True
MT1F,131902.9670591267,True,True
HES6,126320.27764882616,True,True
PEA15,125587.13767632384,True,True
ENO2,125266.57934508896,True,True
RPS4X,120728.06148424571,False,False
INA,110995.19386835398,False,False
SEPT3,110533.36636475183,False,False
MT1M,109968.9846602198,False,False
NPM1,107737.970717365,False,False
PGK1,106980.05646588588,False,False
DNER,106567.79647310244,False,False
D4S234E,104000.46956389095,False,False
PCSK1N,100510.77368946496,True,True
PGAM1,97008.29142198652,False,False
RPS13,94759.66336107485,False,False
RAN,94684.73429238457,False,False
APP,92371.24104549015,True,True
EEF2,91706.67572172334,True,True
MIF,90707.57942457627,True,True
ISLR2,90659.04274709443,True,True
HOXB9,89114.95176282238,False,False
HSPD1,88971.42335522805,False,False
