chemical_code,chemical,source,domain,measured_active
T3,Diazinon,Carstens integrated DNT-NAM panel,growth_proliferation,1.0
T4,Hydroxyurea,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
T5,Maneb,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
T7,Permethrin,Carstens integrated DNT-NAM panel,growth_proliferation,1.0
T15,5-Fluorouracil,Carstens integrated DNT-NAM panel,growth_proliferation,1.0
T18,Thalidomide,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
T20,Carbamazepine,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
T29,Dexamethasone,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
C1,Acetaminophen,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
C2,Amoxicillin,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
C3,Glyphosate,Carstens integrated DNT-NAM panel,growth_proliferation,0.0
T3,Diazinon,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
T4,Hydroxyurea,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
T5,Maneb,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
T7,Permethrin,Carstens integrated DNT-NAM panel,progenitor_organization,1.0
T15,5-Fluorouracil,Carstens integrated DNT-NAM panel,progenitor_organization,1.0
T18,Thalidomide,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
T20,Carbamazepine,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
T29,Dexamethasone,Carstens integrated DNT-NAM panel,progenitor_organization,1.0
C1,Acetaminophen,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
C2,Amoxicillin,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
C3,Glyphosate,Carstens integrated DNT-NAM panel,progenitor_organization,0.0
T3,Diazinon,Carstens integrated DNT-NAM panel,synaptic_integrity,1.0
T4,Hydroxyurea,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
T5,Maneb,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
T7,Permethrin,Carstens integrated DNT-NAM panel,synaptic_integrity,1.0
T15,5-Fluorouracil,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
T18,Thalidomide,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
T20,Carbamazepine,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
T29,Dexamethasone,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
C1,Acetaminophen,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
C2,Amoxicillin,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
C3,Glyphosate,Carstens integrated DNT-NAM panel,synaptic_integrity,0.0
T3,Diazinon,Carstens integrated DNT-NAM panel,electrophysiology,1.0
T4,Hydroxyurea,Carstens integrated DNT-NAM panel,electrophysiology,1.0
T5,Maneb,Carstens integrated DNT-NAM panel,electrophysiology,1.0
T7,Permethrin,Carstens integrated DNT-NAM panel,electrophysiology,1.0
T15,5-Fluorouracil,Carstens integrated DNT-NAM panel,electrophysiology,1.0
T18,Thalidomide,Carstens integrated DNT-NAM panel,electrophysiology,0.0
T20,Carbamazepine,Carstens integrated DNT-NAM panel,electrophysiology,0.0
T29,Dexamethasone,Carstens integrated DNT-NAM panel,electrophysiology,0.0
C1,Acetaminophen,Carstens integrated DNT-NAM panel,electrophysiology,1.0
C2,Amoxicillin,Carstens integrated DNT-NAM panel,electrophysiology,0.0
C3,Glyphosate,Carstens integrated DNT-NAM panel,electrophysiology,0.0
T3,Diazinon,Cohn oligodendrocyte primary screen,progenitor_organization,0.07645245673672839
T4,Hydroxyurea,Cohn oligodendrocyte primary screen,progenitor_organization,0.22319269793793445
T5,Maneb,Cohn oligodendrocyte primary screen,progenitor_organization,0.028680650039541938
T7,Permethrin,Cohn oligodendrocyte primary screen,progenitor_organization,0.0800934080921861
T16,Busulfan,Cohn oligodendrocyte primary screen,progenitor_organization,0.11160706900585107
T18,Thalidomide,Cohn oligodendrocyte primary screen,progenitor_organization,0.04090091834486217
T20,Carbamazepine,Cohn oligodendrocyte primary screen,progenitor_organization,0.2094233331697701
B1,Cyclopamine,Cohn oligodendrocyte primary screen,progenitor_organization,0.061885866657489165
C1,Acetaminophen,Cohn oligodendrocyte primary screen,progenitor_organization,0.1530539658879792
C4,Saccharin,Cohn oligodendrocyte primary screen,progenitor_organization,0.06472758713573164
C6,Sucrose,Cohn oligodendrocyte primary screen,progenitor_organization,0.01258393827179779
C11,Glycerol,Cohn oligodendrocyte primary screen,progenitor_organization,0.05484966898711778
C13,Aspirin,Cohn oligodendrocyte primary screen,progenitor_organization,0.09647048731760129
B6,Lactose,Cohn oligodendrocyte primary screen,progenitor_organization,0.06852869171309771
B9,Oleic acid,Cohn oligodendrocyte primary screen,progenitor_organization,0.14970983655840442
B10,Arabinose,Cohn oligodendrocyte primary screen,progenitor_organization,0.04126825121859734
