chemical_code,public__growth_proliferation__surrogate_probability,public__progenitor_organization__surrogate_probability,public__synaptic_integrity__surrogate_probability,public__electrophysiology__surrogate_probability,public__growth_proliferation__measured_available,public__progenitor_organization__measured_available,public__synaptic_integrity__measured_available,public__electrophysiology__measured_available
T1,0.2549771917994182,0.4300358587868754,0.442708069087833,0.4937754763673248,0,0,0,0
T2,0.7036601367176769,0.7506901142393126,0.6661347211624082,0.8282260811534682,0,0,0,0
T3,0.6783358449705456,0.4384534659714751,0.6134835046335763,0.7179873603822136,1,1,1,1
T4,0.14907889279983744,0.3089676974373631,0.1276948903877699,0.5712305131404773,1,1,1,1
T5,0.240688478529245,0.398857170996371,0.3160545927323636,0.515147060376526,1,1,1,1
T6,0.250439082731315,0.3491528386000365,0.32503452018855444,0.38061846720882736,0,0,0,0
T7,0.7332134774659493,0.7946488749823765,0.8025470732324834,0.9129023450285703,1,1,1,1
T8,0.2950539996477513,0.2829653633214929,0.15387141912917404,0.629295611284346,0,0,0,0
T9,0.2715128743605553,0.2695798008640027,0.22886772620259896,0.6084792783204397,0,0,0,0
T10,0.5203114085371203,0.5818113653340964,0.49871157368432917,0.4065883338623554,0,0,0,0
T11,0.41101805069005026,0.38564250241816217,0.38823121060031635,0.34393044335913264,0,0,0,0
T12,0.6298870177364039,0.7830507298562639,0.730803630384361,0.8189207721839703,0,0,0,0
T13,0.3797684319522629,0.43363997695606155,0.5145509110627101,0.3770054628459316,0,0,0,0
T14,0.32969741910018374,0.5051914430865911,0.6630134556071468,0.42074440038773014,0,0,0,0
T15,0.37806914721538215,0.42895489635962,0.13737677917472535,0.6114038608481096,1,1,1,1
T16,0.3753708182422245,0.3118537557384346,0.3699046732200348,0.3644728576932048,0,0,0,0
T17,0.598442550223153,0.8089179144115336,0.6086864967013911,0.8376365093037365,0,0,0,0
T18,0.3545471250617361,0.3522659689454414,0.3072465251664619,0.330253709549503,1,1,1,1
T19,0.7014296487616712,0.7244138360601117,0.8384610554695971,0.8870689940347971,0,0,0,0
T20,0.346453333499314,0.42194775469205936,0.3429340516250434,0.3171987116689729,1,1,1,1
T21,0.598442550223153,0.8089179144115336,0.6086864967013911,0.8376365093037365,0,0,0,0
T22,0.3869945259380323,0.5690769135294886,0.47629160565757794,0.49439853539251033,0,0,0,0
T23,0.6605515637995112,0.6769303671418907,0.6767163821319939,0.6971253422996255,0,0,0,0
T24,0.5203629122413094,0.6384141180665452,0.5722047419753374,0.5241251058498213,0,0,0,0
T25,0.4624640675432118,0.47407822794576304,0.7605713010431425,0.4770015250954256,0,0,0,0
T26,0.4067691004830844,0.4400604813823724,0.49271634002052234,0.329917911516687,0,0,0,0
T27,0.48961089974656274,0.539814502873023,0.7435703076182447,0.47336047744419896,0,0,0,0
T28,0.20209152462532332,0.3646827620026476,0.11924505294009184,0.5677246624814787,0,0,0,0
T29,0.4074919655736133,0.5948458455372003,0.4233066963082259,0.3293306605688956,1,1,1,1
T30,0.6735774859296714,0.6701185109034584,0.6438142821091514,0.7275483949177978,0,0,0,0
T31,0.4299337746310959,0.4830848799018964,0.4198357631683833,0.43680302891761374,0,0,0,0
T32,0.18720165454261098,0.2882879694988224,0.1584514517030698,0.5917996584543882,0,0,0,0
T33,0.6144489308196132,0.646638051418201,0.7103823506560966,0.742090191797384,0,0,0,0
T34,0.3226188046900599,0.3021769693597406,0.24332703513473194,0.4116782305500267,0,0,0,0
B1,0.6689716192332509,0.7752945299072778,0.6896830659906201,0.6931843606480277,0,0,0,0
B2,0.5151062593113734,0.5351269754885567,0.676172896383132,0.5054141979022343,0,0,0,0
B3,0.7275990947112784,0.7476908308112433,0.8302535227527554,0.8747537505577638,0,0,0,0
B4,0.7093069524346236,0.7651413045974836,0.647728167050932,0.7365232515385902,0,0,0,0
B5,0.2877913028862124,0.31944492584041595,0.5636275548066111,0.31565175185591565,0,0,0,0
C1,0.2132207022591953,0.2837187011913108,0.21838220762412877,0.620444644327451,1,1,1,1
C2,0.3261097873403584,0.31480270236675545,0.4042353917640049,0.27326739633673836,1,1,1,1
C3,0.23513766005283804,0.21958343303436273,0.21094023299779868,0.2894033225700915,1,1,1,1
