model,n,roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,mcc,tn,fp,fn,tp,conditional_oof_roc_auc_ci_low,conditional_oof_roc_auc_ci_high,conditional_oof_accuracy_ci_low,conditional_oof_accuracy_ci_high,ranking_score,decision_rule
seven_model_integrated,60,0.8699095022624435,0.9055034901748783,0.7333333333333333,0.7194570135746606,0.8235294117647058,0.6153846153846154,0.7368421052631579,0.7777777777777778,0.18858787601801283,0.45133857602476013,16,10,6,28,0.7714932126696833,0.9445701357466063,0.6166666666666667,0.8333333333333334,,
seven_model_no_public_assays,60,0.8755656108597285,0.9085379859855931,0.75,0.7341628959276019,0.8529411764705882,0.6153846153846154,0.7435897435897436,0.7945205479452054,0.18588489870987693,0.48655535611497364,16,10,5,29,0.7794117647058824,0.947992081447964,0.6333333333333333,0.85,,
branch__growth_proliferation,60,0.7748868778280542,0.8631945788580557,0.7333333333333333,0.7375565610859729,0.7058823529411765,0.7692307692307693,0.8,0.75,0.1903933538880682,0.4708709557974187,20,6,10,24,0.6470588235294118,0.8834841628959276,0.6166666666666667,0.8337500000000015,,
branch__progenitor_organization,60,0.6979638009049773,0.736232945403498,0.6666666666666666,0.6696832579185521,0.6470588235294118,0.6923076923076923,0.7333333333333333,0.6875,0.23475375907257362,0.3363363969981562,18,8,12,22,0.5542986425339367,0.8246606334841629,0.55,0.7833333333333333,,
branch__excitatory_inhibitory_balance,60,0.7081447963800904,0.7939719725437409,0.6166666666666667,0.6346153846153846,0.5,0.7692307692307693,0.7391304347826086,0.5964912280701754,0.22485084897894891,0.2744012241550153,20,6,17,17,0.5656108597285068,0.8314479638009049,0.5,0.7333333333333333,,
branch__synaptic_integrity,60,0.8710407239819004,0.9105126133062071,0.7833333333333333,0.7907239819004526,0.7352941176470589,0.8461538461538461,0.8620689655172413,0.7936507936507936,0.14945787884918676,0.5765767696451181,22,4,9,25,0.7714932126696833,0.9513574660633484,0.6666666666666666,0.8833333333333333,,
branch__electrophysiology,60,0.8404977375565611,0.8980826878182862,0.8,0.7963800904977376,0.8235294117647058,0.7692307692307693,0.8235294117647058,0.8235294117647058,0.15632311262157408,0.5927601809954751,20,6,6,28,0.7330316742081449,0.9309954751131221,0.7,0.9,,
branch__transcriptomic_risk,60,0.7624434389140271,0.817314494794271,0.7166666666666667,0.7092760180995474,0.7647058823529411,0.6538461538461539,0.7428571428571429,0.7536231884057971,0.203737817097376,0.4206990826757158,17,9,8,26,0.6391402714932126,0.8755656108597285,0.6,0.8333333333333334,,
equal_weight_mean_of_six,60,0.8563348416289592,0.90519792043906,0.75,0.752262443438914,0.7352941176470589,0.7692307692307693,0.8064516129032258,0.7692307692307693,0.16214682267126224,0.5002981308593826,20,6,9,25,0.755656108597285,0.9355203619909502,0.6333333333333333,0.85,,
proposal_rule_at_least_4_of_6,60,0.8563348416289592,0.90519792043906,0.7166666666666667,0.7273755656108598,0.6470588235294118,0.8076923076923077,0.8148148148148148,0.7213114754098361,0.16214682267126224,0.4529612688257838,21,5,12,22,0.755656108597285,0.9355203619909502,0.6,0.8166666666666667,mean_of_six_branch_probabilities,at_least_4_branch_probabilities_ge_0.5
