evaluation,outer_fold,branch,train_n,test_n,feature_count,public_fusion_alpha,best_parameters
integrated_public_assays_late_fusion,1,growth_proliferation,48,12,57,0.05,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
integrated_public_assays_late_fusion,1,progenitor_organization,48,12,102,0.05,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 1.0, ""select__percentile"": 100}"
integrated_public_assays_late_fusion,1,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 50}"
integrated_public_assays_late_fusion,1,synaptic_integrity,48,12,69,0.1,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 50}"
integrated_public_assays_late_fusion,1,electrophysiology,48,12,54,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
integrated_public_assays_late_fusion,1,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 1}"
integrated_public_assays_late_fusion,1,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
integrated_public_assays_late_fusion,2,growth_proliferation,48,12,57,0.1,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
integrated_public_assays_late_fusion,2,progenitor_organization,48,12,102,0.1,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
integrated_public_assays_late_fusion,2,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
integrated_public_assays_late_fusion,2,synaptic_integrity,48,12,69,0.1,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
integrated_public_assays_late_fusion,2,electrophysiology,48,12,54,0.05,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
integrated_public_assays_late_fusion,2,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 2}"
integrated_public_assays_late_fusion,2,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
integrated_public_assays_late_fusion,3,growth_proliferation,48,12,57,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
integrated_public_assays_late_fusion,3,progenitor_organization,48,12,102,0.2,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
